Loading required package: Matrix
Loading required package: foreach
Loaded glmnet 2.0-10

Loading required package: methods

Attaching package: ‘pracma’

The following objects are masked from ‘package:kernlab’:

    cross, eig, size

The following objects are masked from ‘package:Matrix’:

    expm, lu, tril, triu

[1] 9.830066 5.128942 5.785225
[1] 7.289254 3.900222 5.031481
[1] 9.241122 5.501851 6.028329
[1] 8.721616 5.510991 5.994823
[1] 9.382158 5.811075 6.553422
[1] 8.661835 4.514996 4.776825
[1] 8.426320 4.812061 4.546880
[1] 8.905974 5.092896 5.969817
[1] 8.913614 5.292413 5.850742
[1] 8.895805 4.786965 5.643227
[1] 8.952682 4.220583 4.799381
[1] 8.437074 4.962689 6.251886
[1] 8.263662 4.730277 5.908746
[1] 7.575890 3.901370 4.256812
[1] 9.170988 5.753639 6.175750
[1] 8.065524 4.830976 5.317487
[1] 8.303741 4.331896 4.703030
[1] 8.471511 4.834003 5.419334
[1] 7.745377 4.478021 5.529987
[1] 9.379225 5.121741 5.179196
[1] 8.505101 4.905986 6.399898
[1] 8.522535 5.377396 6.217830
[1] 7.770730 4.134829 4.646063
[1] 9.848694 5.406603 6.550555
[1] 8.179634 4.554767 5.038524
[1] 8.480505 4.612874 4.811725
[1] 8.563060 4.961118 5.073220
[1] 8.212043 4.811146 5.335270
[1] 8.889742 5.317962 5.353247
[1] 8.493946 4.778015 5.332758
[1] 8.483988 4.961601 5.406178
[1] 8.001695 4.633671 5.472736
[1] 7.993469 4.133257 5.138171
[1] 7.940369 4.396235 4.573136
[1] 9.296186 5.325998 6.236980
[1] 8.907189 5.296194 5.078566
[1] 8.509861 5.121634 5.438570
[1] 7.918768 4.642583 6.323845
[1] 7.458574 4.419755 4.951236
[1] 7.571776 4.541260 5.041130
[1] 8.714327 4.551566 5.201944
[1] 8.006265 5.164057 5.017883
[1] 8.039071 5.336880 5.576701
[1] 8.488153 4.905244 5.202614
[1] 8.853846 5.011478 5.035134
[1] 8.734390 5.339806 6.056937
[1] 7.820078 4.233034 4.837234
[1] 7.903577 5.003418 5.097615
[1] 8.889378 4.923387 5.376261
[1] 8.978642 4.833795 5.541927
[1] 9.259165 5.245344 6.204433
[1] 7.310292 4.291518 4.653354
[1] 7.643356 4.468218 5.076964
[1] 8.309470 4.737128 5.048261
[1] 7.897175 4.940821 5.516349
[1] 8.501099 4.931498 5.284478
[1] 8.497998 4.716685 5.304529
[1] 9.642965 5.189581 5.914145
[1] 9.176010 5.194125 6.315146
[1] 7.438151 4.889467 5.107128
[1] 8.292426 4.717671 4.623911
[1] 8.464878 4.982463 5.226277
[1] 8.296436 5.021202 5.221092
[1] 9.042596 6.072452 6.734871
[1] 7.996455 4.663614 5.541162
[1] 9.078022 5.069953 5.874809
[1] 9.370282 4.955891 4.837404
[1] 7.903213 4.279164 4.759597
[1] 9.133566 5.650649 5.814360
[1] 8.333333
[1] 12.250310  5.522704  5.524831
[1] 10.750972  4.807295  6.330098
[1] 10.932875  5.111735  6.221618
[1] 10.531700  5.393454  5.609727
[1] 9.643055 4.220163 5.885687
[1] 10.566018  4.632747  6.214018
[1] 11.887914  5.074491  6.522718
[1] 9.744419 4.411817 5.189448
[1] 9.608700 4.674609 6.022185
[1] 10.985635  5.380071  6.565442
[1] 10.746090  4.539052  5.105483
[1] 10.937961  5.470423  6.078660
[1] 12.372642  4.569069  5.219621
[1] 11.851928  4.724021  5.213852
[1] 10.468085  4.924478  5.574641
[1] 11.023152  4.655039  5.130683
[1] 10.432762  4.707450  4.942547
[1] 11.043072  5.046017  6.084442
[1] 11.751883  5.553064  5.903897
[1] 10.463187  4.656048  6.202573
[1] 11.738034  5.560510  5.882018
[1] 10.478386  4.839896  6.174786
[1] 10.625643  4.495487  6.087770
[1] 10.637278  5.676849  5.410707
[1] 10.433427  4.420702  5.281487
[1] 9.308247 4.201109 6.214390
[1] 10.505549  5.456028  6.033288
[1] 10.555697  4.690799  5.544522
[1] 10.619249  4.804448  6.292393
[1] 10.081657  5.330361  6.871018
[1] 11.884214  5.921820  7.847517
[1] 11.160321  5.439536  5.407364
[1] 11.084319  4.881223  4.891754
[1] 11.145865  4.661982  5.799965
[1] 11.280584  4.199657  4.575227
[1] 10.182742  5.056780  5.154813
[1] 10.012164  4.569337  4.642965
[1] 11.724572  5.222519  5.901804
[1] 10.136586  4.750473  6.600945
[1] 10.854490  4.918017  4.981886
[1] 11.709227  4.461714  7.048887
[1] 11.198420  5.102216  5.774855
[1] 9.554280 4.435708 4.956146
[1] 10.325416  5.333048  5.684807
[1] 10.735136  5.119465  5.312205
[1] 9.515980 3.574680 3.996751
[1] 11.388288  4.944930  5.605865
[1] 11.583868  6.085268  6.819378
[1] 10.794352  5.811956  5.705328
[1] 10.642451  5.192545  5.598655
[1] 11.588310  4.429284  4.672791
[1] 10.292059  5.165594  5.758876
[1] 11.761888  4.989842  6.843262
[1] 9.246328 4.841973 5.285896
[1] 11.285170  5.310468  5.507376
[1] 11.024765  4.917021  5.571623
[1] 11.118047  5.500697  5.936134
[1] 10.240894  5.188193  6.836318
[1] 10.817228  4.392992  5.501357
[1] 9.869238 4.967519 6.600319
[1] 9.229005 4.497118 4.665465
[1] 10.918109  5.233825  4.892542
[1] 9.840130 4.840224 5.195664
[1] 9.871544 4.907971 5.720151
[1] 11.188987  4.369290  5.099177
[1] 11.599460  6.017250  7.276675
[1] 10.162395  4.304715  4.626356
[1] 10.403242  4.844758  5.463360
[1] 11.635045  5.317411  6.374087
[1] 11.038473  5.179330  5.603251
[1] 11.035340  5.223988  5.415117
[1] 10.42217  5.29641  5.79191
[1] 11.301712  5.240005  5.551640
[1] 10.632023  4.728670  5.226601
[1] 9.588424 4.441509 5.918081
[1] 11.041536  4.922621  5.506515
[1] 10.110077  4.977926  5.368665
[1] 10.519663  5.298732  5.801781
[1] 10.324468  5.280395  5.857826
[1] 10.992667  5.294823  6.327710
[1] 10
[1] 15.407489  5.265061  8.654109
[1] 12.859346  4.585868  5.802934
[1] 14.353538  5.522014  7.945005
[1] 14.594414  5.305952  6.218926
[1] 13.755689  4.898479  5.473103
[1] 13.284028  4.469616  5.624709
[1] 12.014542  5.167373  5.937855
[1] 15.621725  5.683492  6.911044
[1] 13.575604  5.507590  7.314339
[1] 11.797850  4.785159  5.207538
[1] 13.144883  4.999656  5.891789
[1] 12.853272  5.198728  6.089083
[1] 13.341963  5.064817  5.477368
[1] 11.899980  5.004157  5.495918
[1] 11.928601  4.665527  5.875590
[1] 13.013341  4.539951  4.791130
[1] 15.819418  5.693814  7.904953
[1] 14.130717  4.893515  7.080058
[1] 14.755140  4.134304  5.096085
[1] 13.156345  5.051206  5.876755
[1] 14.672396  5.010128  5.365783
[1] 14.703721  5.042977  6.257119
[1] 13.998054  6.056716  6.298403
[1] 16.482110  5.854100  8.853545
[1] 11.305501  4.302425  5.158742
[1] 13.552439  4.827848  7.514473
[1] 14.252268  5.752477  7.471324
[1] 10.485598  4.228178  5.092705
[1] 11.690650  5.224881  6.494194
[1] 13.994477  5.501711  6.905996
[1] 12.606251  5.487737  6.205455
[1] 13.371347  4.941492  6.276217
[1] 13.987602  5.301431  6.279103
[1] 14.301006  5.800804  7.010696
[1] 12.209665  5.775057  6.936236
[1] 12.373112  4.865658  5.304753
[1] 13.841018  4.845245  6.182464
[1] 11.659899  4.706239  5.082299
[1] 11.983071  4.855652  4.923247
[1] 14.268456  5.656038  7.860219
[1] 14.337573  4.527289  4.684150
[1] 13.421722  5.045842  4.777831
[1] 13.049319  4.999667  5.081186
[1] 12.476032  4.988647  5.931549
[1] 14.179821  5.560327  5.615648
[1] 12.595751  4.777436  5.454951
[1] 13.406408  5.265732  6.264226
[1] 14.049615  5.636342  6.140393
[1] 13.423075  4.798053  6.112551
[1] 13.393604  4.700717  5.612979
[1] 13.081710  5.031949  6.374272
[1] 12.161014  4.933195  5.945159
[1] 14.516127  5.243511  6.902875
[1] 14.245496  5.390835  6.155143
[1] 12.414052  4.230494  6.262810
[1] 12.810354  5.456913  8.052777
[1] 11.902660  4.619821  4.517879
[1] 16.422853  5.615018  7.058137
[1] 14.142960  4.681777  6.055122
[1] 13.360751  5.120400  6.097523
[1] 12.103859  4.935378  8.233200
[1] 14.808826  5.300342  7.770609
[1] 12.048779  5.004526  5.952336
[1] 13.477475  5.651157  7.351728
[1] 13.547935  5.580375  5.865663
[1] 12.567147  6.320735  6.691325
[1] 13.105090  4.491959  5.616346
[1] 13.356343  5.056240  8.136166
[1] 14.815863  5.799533  6.547247
[1] 13.852863  5.035515  5.871903
[1] 14.824472  5.310986  6.040865
[1] 11.882046  4.912761  5.484002
[1] 14.907660  5.080057  6.687310
[1] 11.56366  5.18269  6.50688
[1] 12.962225  5.205754  7.059872
[1] 13.180037  5.325948  5.949655
[1] 14.150815  5.784776  6.834478
[1] 12.841812  4.689657  5.935351
[1] 14.163950  5.081161  5.956931
[1] 12.885017  5.220951  5.379429
[1] 11.66667
[1] 16.020844  5.096973  8.094427
[1] 17.417970  5.553392  6.784052
[1] 16.575653  5.695664  7.014165
[1] 15.828673  5.171974  5.516396
[1] 14.585696  4.680729  6.627117
[1] 15.517395  5.709642  6.770134
[1] 19.885856  6.311306 10.774518
[1] 15.511959  4.999424  5.390337
[1] 17.441832  6.252288  7.538390
[1] 16.017262  5.630564  8.429411
[1] 15.063181  5.162723  6.276721
[1] 16.680870  5.053147  5.527194
[1] 17.319751  5.343149  5.414693
[1] 17.102754  5.325495  6.922250
[1] 14.085789  5.320803  8.852161
[1] 16.902482  5.385856  8.614300
[1] 15.480474  5.571069  5.712617
[1] 15.799713  6.083803  7.477405
[1] 18.342605  5.709730  7.465601
[1] 18.232423  5.449095  6.765389
[1] 16.033550  4.728188  9.057112
[1] 15.969739  4.554568  5.838211
[1] 15.709355  5.313977  6.265665
[1] 17.934745  5.781200  7.726743
[1] 17.514740  5.591523  6.765180
[1] 18.118718  5.860452  5.913948
[1] 19.144105  5.567087  7.171355
[1] 17.900289  5.471545  6.164193
[1] 17.286210  5.742550  7.199006
[1] 18.302543  5.493322  7.463297
[1] 16.457721  5.075404  7.383401
[1] 16.660153  5.612122  6.773704
[1] 18.840830  6.229762  9.449278
[1] 16.784202  5.365440  6.106765
[1] 17.074637  4.743003  7.480066
[1] 17.739644  4.779868  6.845605
[1] 17.892222  5.416394  6.986161
[1] 18.220673  5.629898  8.491910
[1] 15.268129  4.980592  7.312361
[1] 16.429198  5.046027  5.291198
[1] 16.156054  4.854222  5.209651
[1] 18.865500  5.469846  8.483616
[1] 17.515380  5.992841  6.335792
[1] 15.625662  5.120350  5.660417
[1] 16.150094  4.451040  5.459812
[1] 18.930218  5.824215  9.909844
[1] 17.110690  5.552419  7.677725
[1] 15.285467  5.950609  8.222471
[1] 17.718274  6.599485 11.392993
[1] 14.879925  4.340686  5.349312
[1] 17.877656  4.995266  8.413565
[1] 17.339237  5.028558  7.302001
[1] 15.948263  5.338185  6.840915
[1] 16.137089  5.316319  7.006843
[1] 17.274111  5.394210  5.398355
[1] 17.375086  5.554483  6.346508
[1] 18.093078  5.483271  5.235603
[1] 17.648223  5.360817  6.159034
[1] 18.387485  5.748824  7.664590
[1] 16.095389  5.380332  6.334389
[1] 17.090317  5.596998  7.185307
[1] 14.775231  4.973487  6.157236
[1] 18.595228  5.202715  5.796826
[1] 14.159443  5.320867  7.030901
[1] 15.467302  5.131441  7.909246
[1] 14.963952  5.246107  8.822612
[1] 18.500676  5.813414  9.179388
[1] 16.381115  5.436973  6.699842
[1] 17.411062  5.880571  8.375506
[1] 16.600457  4.936569  6.948415
[1] 19.654882  5.862107  7.854219
[1] 17.150116  5.050865  5.223095
[1] 14.820607  5.028890  5.348326
[1] 16.595049  5.135594  9.756483
[1] 15.626194  5.103754  6.527967
[1] 16.600914  4.503956  6.453402
[1] 14.945491  4.918739  7.017876
[1] 16.011629  5.115660  5.204228
[1] 21.640382  5.936363  7.199517
[1] 17.957345  5.785115  8.817799
[1] 13.33333
[1] 23.190239  6.478150  7.016565
[1] 20.310327  5.328057  6.428309
[1] 21.895317  5.531202  7.949534
[1] 18.627743  5.698931  7.847005
[1] 18.514330  5.548041  5.629867
[1] 20.824246  5.200356  5.364817
[1] 20.449470  5.923639  7.069751
[1] 19.259281  5.564328  6.775825
[1] 22.986615  5.128721  5.370542
[1] 19.661045  5.632731  7.558291
[1] 19.486459  5.312710  6.843079
[1] 21.558499  5.091376  6.959007
[1] 18.821297  5.847855 10.999318
[1] 20.376439  5.282891  6.804203
[1] 20.015137  5.082158  7.347314
[1] 20.476342  5.468453  7.206714
[1] 18.993442  5.258983  6.300463
[1] 20.874301  5.348018  6.038939
[1] 18.771046  5.716273  6.389195
[1] 21.793263  5.222718 10.204439
[1] 19.851812  6.023495  8.383837
[1] 19.383109  4.742649  6.284654
[1] 20.223257  5.964914  7.666124
[1] 20.669822  5.040220  5.289535
[1] 22.976666  5.924346  8.088400
[1] 19.097376  5.134240  5.453294
[1] 19.628724  5.974698  7.254934
[1] 17.470986  5.340729  9.890353
[1] 20.823691  6.325338 10.283556
[1] 20.538421  5.412325  6.779789
[1] 18.352418  5.503325  9.498639
[1] 19.041563  5.349000  6.910151
[1] 18.339061  5.099781  9.513879
[1] 19.241271  5.083870  5.588187
[1] 19.641167  4.909409  6.980872
[1] 19.636229  5.634442  7.172937
[1] 20.102562  5.136240  6.490643
[1] 18.840187  5.309181  6.769837
[1] 18.864664  5.592009  8.300648
[1] 24.123206  5.515145 10.512946
[1] 21.545309  5.588713  6.819684
[1] 20.612035  5.574360  6.292402
[1] 22.213289  5.320843  6.430653
[1] 22.839652  5.500424  6.050942
[1] 17.598100  5.509322  6.400538
[1] 20.125649  5.608502 10.921337
[1] 20.942067  6.122762 10.231190
[1] 21.708899  5.862982  7.617633
[1] 21.267046  5.940770  8.445219
[1] 19.404350  5.356243  6.645757
[1] 20.72535  6.24066 11.55499
[1] 20.976869  6.481445  9.185032
[1] 23.494285  6.048461  7.521986
[1] 22.02384  5.55364 11.42024
[1] 21.703823  5.561046  9.703069
[1] 18.593317  5.408277  6.919078
[1] 19.217861  4.912940  7.529724
[1] 21.853036  4.591011  6.678737
[1] 20.159266  5.637995  8.585784
[1] 20.531793  5.577818  6.414542
[1] 23.730814  5.946767  7.308883
[1] 19.217370  4.871542  6.191991
[1] 18.655058  5.684251  8.422620
[1] 19.756243  5.072107  7.246641
[1] 19.028470  5.510320  7.777294
[1] 19.057243  5.176673  8.992084
[1] 22.387177  5.690174  7.531559
[1] 20.27801  5.42123 10.04611
[1] 19.794260  5.764917  6.018464
[1] 18.635729  5.392423  5.257754
[1] 22.112614  5.423345  7.905386
[1] 22.61947  5.44415 10.47387
[1] 21.161286  5.210708  5.100091
[1] 23.180676  5.707968  9.502766
[1] 19.385118  5.788545  6.082288
[1] 20.413785  5.106546  6.369986
[1] 20.081940  5.812408  8.107916
[1] 20.550587  5.059718  6.941292
[1] 19.060511  5.362676  7.205565
