 medial front-orbital gyrus right
 middle frontal gyrus right
 lateral ventricle left
 insula right
 precentral gyrus right
 lateral front-orbital gyrus right
 cingulate region right
 lateral ventricle right
 medial frontal gyrus left
 superior frontal gyrus right
 globus palladus right
 globus palladus left
 putamen left
 inferior frontal gyrus left
 putamen right
 frontal lobe WM right
 parahippocampal gyrus left
 angular gyrus right
 temporal pole right
 subthalamic nucleus right
 nucleus accumbens right
 uncus right
 cingulate region left
 fornix left
 frontal lobe WM left
 precuneus right
 subthalamic nucleus left
 posterior limb of internal capsule inc. cerebral peduncle left
 posterior limb of internal capsule inc. cerebral peduncle right
 hippocampal formation right
 inferior occipital gyrus left
 superior occipital gyrus right
 caudate nucleus left
 supramarginal gyrus left
 anterior limb of internal capsule left
 occipital lobe WM right
 middle frontal gyrus left
 superior parietal lobule left
 caudate nucleus right
 cuneus left
 precuneus left
 parietal lobe WM left
 temporal lobe WM right
 supramarginal gyrus right
 superior temporal gyrus left
 uncus left
 middle occipital gyrus right
 middle temporal gyrus left
 lingual gyrus left
 superior frontal gyrus left
 nucleus accumbens left
 occipital lobe WM left
 postcentral gyrus left
 inferior frontal gyrus right
 precentral gyrus left
 temporal lobe WM left
 medial front-orbital gyrus left
 perirhinal cortex right
 superior parietal lobule right
 lateral front-orbital gyrus left
 perirhinal cortex left
 inferior temporal gyrus left
 temporal pole left
 entorhinal cortex left
 inferior occipital gyrus right
 superior occipital gyrus left
 lateral occipitotemporal gyrus right
 entorhinal cortex right
 hippocampal formation left
 thalamus left
 parietal lobe WM right
 insula left
 postcentral gyrus right
 lingual gyrus right
 medial frontal gyrus right
 amygdala left
 medial occipitotemporal gyrus left
 parahippocampal gyrus right
 anterior limb of internal capsule right
 middle temporal gyrus right
 occipital pole right
 corpus callosum
 amygdala right
 inferior temporal gyrus right
 superior temporal gyrus right
 middle occipital gyrus left
 angular gyrus left
 medial occipitotemporal gyrus right
 cuneus right
 lateral occipitotemporal gyrus left
 thalamus right
 occipital pole left
 fornix right
